province,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential
Free State,2020-06-21,-40.0,-18.0,-27.0,-47.0,1.0,9.0
Free State,2020-06-22,-30.0,-17.0,-21.0,-43.0,-23.0,15.0
Free State,2020-06-23,-29.0,-15.0,-15.0,-30.0,-23.0,15.0
Free State,2020-06-24,-29.0,-14.0,-19.0,-35.0,-22.0,15.0
Free State,2020-06-25,-20.0,1.0,-9.0,-36.0,-22.0,13.0
Free State,2020-06-26,-21.0,-3.0,-15.0,-36.0,-23.0,14.0
Free State,2020-06-27,-23.0,0.0,-12.0,-31.0,-6.0,9.0
Free State,2020-06-28,-33.0,-10.0,-24.0,-51.0,-2.0,9.0
Free State,2020-06-29,-24.0,-8.0,-18.0,-37.0,-21.0,14.0
Free State,2020-06-30,-13.0,2.0,-6.0,-18.0,-19.0,12.0
Free State,2020-07-01,-13.0,2.0,-5.0,-25.0,-19.0,13.0
Free State,2020-07-02,-13.0,7.0,-1.0,-35.0,-20.0,13.0
Free State,2020-07-03,-18.0,0.0,-10.0,-29.0,-21.0,13.0
Free State,2020-07-04,-21.0,1.0,-9.0,-18.0,0.0,9.0
Free State,2020-07-05,-27.0,-7.0,-15.0,-41.0,4.0,8.0
Free State,2020-07-06,-18.0,-1.0,-10.0,-31.0,-21.0,13.0
Free State,2020-07-07,-17.0,1.0,-4.0,-27.0,-21.0,13.0
Free State,2020-07-08,-23.0,-6.0,-15.0,-30.0,-21.0,15.0
Free State,2020-07-09,-25.0,-3.0,-17.0,-35.0,-23.0,15.0
Free State,2020-07-10,-28.0,-8.0,-21.0,-34.0,-24.0,15.0
Free State,2020-07-11,-39.0,-16.0,-29.0,-32.0,-11.0,13.0
Free State,2020-07-12,-42.0,-22.0,-27.0,-42.0,-5.0,10.0
Free State,2020-07-13,-31.0,-14.0,-24.0,-36.0,-25.0,15.0
Free State,2020-07-14,-35.0,-20.0,-27.0,-29.0,-27.0,17.0
Free State,2020-07-15,-23.0,-9.0,-18.0,-29.0,-25.0,16.0
Free State,2020-07-16,-26.0,-8.0,-18.0,-38.0,-26.0,16.0
Free State,2020-07-17,-28.0,-10.0,-24.0,-35.0,-26.0,18.0
Free State,2020-07-18,-33.0,-10.0,-25.0,-31.0,-8.0,13.0
Free State,2020-07-19,-40.0,-19.0,-28.0,-48.0,-6.0,12.0
Free State,2020-07-20,-27.0,-10.0,-22.0,-39.0,-26.0,17.0
Free State,2020-07-21,-29.0,-14.0,-21.0,-30.0,-27.0,16.0
Free State,2020-07-22,-30.0,-14.0,-23.0,-38.0,-27.0,18.0
Free State,2020-07-23,-30.0,-12.0,-18.0,-40.0,-28.0,17.0
Free State,2020-07-24,-25.0,-6.0,-21.0,-37.0,-27.0,17.0
Free State,2020-07-25,-23.0,3.0,-17.0,-24.0,-7.0,11.0
Free State,2020-07-26,-31.0,-7.0,-22.0,-46.0,-6.0,11.0
Free State,2020-07-27,-23.0,-4.0,-18.0,-38.0,-32.0,17.0
Free State,2020-07-28,-22.0,-5.0,-14.0,-29.0,-32.0,17.0
Free State,2020-07-29,-22.0,-6.0,-14.0,-28.0,-33.0,18.0
Free State,2020-07-30,-23.0,-5.0,-12.0,-39.0,-33.0,17.0
Free State,2020-07-31,-16.0,5.0,-10.0,-31.0,-32.0,16.0
Free State,2020-08-01,-17.0,12.0,-9.0,-19.0,-5.0,9.0
Free State,2020-08-02,-21.0,4.0,-14.0,-40.0,-3.0,9.0
Free State,2020-08-03,-17.0,2.0,-14.0,-31.0,-27.0,15.0
Free State,2020-08-04,-14.0,4.0,-4.0,-21.0,-26.0,15.0
Free State,2020-08-05,-14.0,4.0,-8.0,-24.0,-27.0,16.0
Free State,2020-08-06,-16.0,3.0,-8.0,-31.0,-28.0,15.0
Free State,2020-08-07,-18.0,0.0,-8.0,-26.0,-28.0,14.0
Free State,2020-08-08,-23.0,1.0,-3.0,-22.0,-7.0,9.0
Free State,2020-08-09,-29.0,-9.0,-3.0,-46.0,-5.0,9.0
Free State,2020-08-10,-42.0,-27.0,-16.0,-51.0,-68.0,25.0
Free State,2020-08-11,-20.0,-5.0,-6.0,-28.0,-23.0,13.0
Free State,2020-08-12,-23.0,-9.0,-14.0,-27.0,-23.0,15.0
Free State,2020-08-13,-23.0,-8.0,-9.0,-36.0,-25.0,13.0
Free State,2020-08-14,-17.0,1.0,-9.0,-28.0,-24.0,12.0
Free State,2020-08-15,-21.0,2.0,-9.0,-20.0,-2.0,9.0
Free State,2020-08-16,-28.0,-6.0,-17.0,-40.0,-2.0,9.0
Free State,2020-08-17,-23.0,-7.0,,,-21.0,13.0
Free State,2020-08-18,-20.0,-2.0,,,-20.0,13.0
Free State,2020-08-19,-22.0,-9.0,,,-21.0,13.0
Free State,2020-08-20,-16.0,-1.0,,,-22.0,11.0
Free State,2020-08-21,-20.0,-7.0,,,-22.0,12.0
Free State,2020-08-22,-22.0,-6.0,,,-4.0,8.0
Free State,2020-08-23,-28.0,-13.0,,,-3.0,7.0
Free State,2020-08-24,-25.0,-11.0,,,-19.0,12.0
Free State,2020-08-25,-13.0,2.0,,,-18.0,10.0
Free State,2020-08-26,-16.0,-3.0,,,-17.0,11.0
Free State,2020-08-27,-12.0,5.0,,,-19.0,10.0
Free State,2020-08-28,-10.0,3.0,,,-20.0,9.0
Free State,2020-08-29,-11.0,5.0,,,-1.0,5.0
Free State,2020-08-30,-16.0,-1.0,,,-4.0,6.0
Free State,2020-08-31,-12.0,2.0,,,-19.0,9.0
Free State,2020-09-01,-11.0,3.0,,,-19.0,10.0
Free State,2020-09-02,-18.0,-7.0,,,-20.0,11.0
Free State,2020-09-03,-10.0,7.0,,,-20.0,8.0
Free State,2020-09-04,-10.0,1.0,,,-19.0,8.0
Free State,2020-09-05,-11.0,3.0,,,-4.0,4.0
Free State,2020-09-06,-17.0,-5.0,,,-6.0,5.0
Free State,2020-09-07,-15.0,-1.0,,,-20.0,9.0
Free State,2020-09-08,-12.0,-3.0,,,-19.0,9.0
Free State,2020-09-09,-17.0,-8.0,,,-18.0,11.0
Free State,2020-09-10,-16.0,-1.0,,,-20.0,9.0
Free State,2020-09-11,-16.0,-6.0,-18.0,-24.0,-21.0,8.0
Free State,2020-09-12,-18.0,-5.0,-7.0,-14.0,-5.0,4.0
Free State,2020-09-13,-23.0,-12.0,-11.0,-32.0,-12.0,6.0
Free State,2020-09-14,-25.0,-14.0,-25.0,-25.0,-19.0,10.0
Free State,2020-09-15,-10.0,-3.0,-16.0,-14.0,-18.0,9.0
Free State,2020-09-16,-16.0,-7.0,-20.0,-21.0,-17.0,11.0
Free State,2020-09-17,-16.0,-4.0,-18.0,-32.0,-19.0,10.0
Free State,2020-09-18,-14.0,-5.0,-24.0,-23.0,-20.0,10.0
Free State,2020-09-19,-16.0,-5.0,-15.0,-15.0,-4.0,7.0
Free State,2020-09-20,-22.0,-11.0,-17.0,-34.0,-10.0,8.0
Free State,2020-09-21,-23.0,-12.0,-28.0,-27.0,-20.0,11.0
Free State,2020-09-22,-18.0,-9.0,-26.0,-16.0,-20.0,11.0
Free State,2020-09-23,-11.0,0.0,-27.0,-15.0,-20.0,8.0
Free State,2020-09-24,-32.0,-18.0,-14.0,-34.0,-69.0,20.0
Free State,2020-09-25,-12.0,7.0,-21.0,-33.0,-43.0,14.0
Free State,2020-09-26,-13.0,2.0,-11.0,-16.0,-12.0,6.0
Free State,2020-09-27,-14.0,-1.0,-13.0,3.0,-13.0,3.0
Free State,2020-09-28,-19.0,-3.0,-35.0,-27.0,-19.0,11.0
Free State,2020-09-29,-13.0,-1.0,-33.0,-13.0,-18.0,10.0
Free State,2020-09-30,-9.0,6.0,-35.0,-19.0,-18.0,9.0
Free State,2020-10-01,-10.0,11.0,-34.0,-27.0,-18.0,7.0
Free State,2020-10-02,-9.0,8.0,-39.0,-21.0,-21.0,8.0
Free State,2020-10-03,-9.0,8.0,-30.0,-11.0,-9.0,4.0
Free State,2020-10-04,-14.0,1.0,-29.0,-30.0,-15.0,4.0
Free State,2020-10-05,-19.0,0.0,-43.0,-25.0,-20.0,7.0
Free State,2020-10-06,-14.0,-1.0,-38.0,-13.0,-20.0,7.0
Free State,2020-10-07,-13.0,2.0,-33.0,-18.0,-17.0,9.0
Free State,2020-10-08,-16.0,2.0,-28.0,-25.0,-17.0,9.0
Free State,2020-10-09,-13.0,2.0,-31.0,-21.0,-19.0,9.0
Free State,2020-10-10,-18.0,-4.0,-24.0,-15.0,-6.0,7.0
Free State,2020-10-11,-25.0,-11.0,-28.0,-36.0,-13.0,8.0
Free State,2020-10-12,-26.0,-10.0,-39.0,-24.0,-17.0,11.0
Free State,2020-10-13,-20.0,-9.0,-34.0,-10.0,-17.0,10.0
Free State,2020-10-14,-21.0,-9.0,-39.0,-17.0,-15.0,11.0
Free State,2020-10-15,-14.0,6.0,-38.0,-21.0,-17.0,9.0
Free State,2020-10-16,-12.0,6.0,-38.0,-17.0,-18.0,9.0
Free State,2020-10-17,-19.0,-1.0,-35.0,-13.0,-7.0,6.0
Free State,2020-10-18,-25.0,-7.0,-36.0,-32.0,-13.0,7.0
Free State,2020-10-19,-27.0,-8.0,-47.0,-18.0,-17.0,11.0
Free State,2020-10-20,-17.0,-4.0,-41.0,-12.0,-17.0,10.0
Free State,2020-10-21,-20.0,-6.0,-41.0,-19.0,-15.0,11.0
Free State,2020-10-22,-17.0,0.0,-34.0,-26.0,-17.0,9.0
Free State,2020-10-23,-7.0,10.0,-33.0,-17.0,-20.0,9.0
Free State,2020-10-24,-13.0,6.0,-21.0,-15.0,-7.0,5.0
Free State,2020-10-25,-17.0,0.0,-21.0,-34.0,-13.0,5.0
Free State,2020-10-26,-21.0,-4.0,-39.0,-22.0,-28.0,11.0
Free State,2020-10-27,-12.0,1.0,-36.0,-13.0,-27.0,10.0
Free State,2020-10-28,-13.0,-1.0,-40.0,-12.0,-26.0,10.0
Free State,2020-10-29,-12.0,5.0,-42.0,-25.0,-28.0,10.0
Free State,2020-10-30,-1.0,16.0,-39.0,-11.0,-28.0,8.0
Free State,2020-10-31,-10.0,7.0,-36.0,-11.0,-9.0,5.0
Free State,2020-11-01,-15.0,2.0,-37.0,-21.0,-15.0,5.0
Free State,2020-11-02,-14.0,5.0,-44.0,-14.0,-16.0,8.0
Free State,2020-11-03,-9.0,5.0,-41.0,-1.0,-14.0,9.0
Free State,2020-11-04,-10.0,5.0,-38.0,-10.0,-12.0,9.0
Free State,2020-11-05,-13.0,7.0,-38.0,-22.0,-14.0,9.0
Free State,2020-11-06,-8.0,10.0,-34.0,-11.0,-14.0,7.0
Free State,2020-11-07,-13.0,3.0,-25.0,2.0,-4.0,5.0
Free State,2020-11-08,-18.0,-3.0,-29.0,-23.0,-11.0,6.0
Free State,2020-11-09,-24.0,-7.0,-44.0,-18.0,-16.0,10.0
Free State,2020-11-10,-20.0,-7.0,-40.0,-6.0,-16.0,10.0
Free State,2020-11-11,-19.0,-6.0,-40.0,-12.0,-14.0,10.0
Free State,2020-11-12,-18.0,-2.0,-36.0,-24.0,-15.0,9.0
Free State,2020-11-13,-9.0,7.0,-35.0,-12.0,-16.0,8.0
Free State,2020-11-14,-14.0,5.0,-27.0,-5.0,-6.0,5.0
Free State,2020-11-15,-21.0,-4.0,-33.0,-28.0,-13.0,6.0
Free State,2020-11-16,-23.0,-6.0,-44.0,-18.0,-16.0,10.0
Free State,2020-11-17,-18.0,-4.0,-39.0,-9.0,-15.0,10.0
Free State,2020-11-18,-20.0,-8.0,-40.0,-18.0,-14.0,10.0
Free State,2020-11-19,-19.0,-2.0,-38.0,-25.0,-15.0,9.0
Free State,2020-11-20,-10.0,4.0,-38.0,-12.0,-15.0,8.0
Free State,2020-11-21,-19.0,-2.0,-37.0,-9.0,-6.0,8.0
Free State,2020-11-22,-23.0,-7.0,-34.0,-26.0,-12.0,7.0
Free State,2020-11-23,-25.0,-9.0,-45.0,-21.0,-16.0,10.0
Free State,2020-11-24,-15.0,-3.0,-39.0,-4.0,-14.0,9.0
Free State,2020-11-25,-5.0,8.0,-34.0,-11.0,-12.0,8.0
Free State,2020-11-26,-2.0,19.0,-32.0,-17.0,-13.0,7.0
Free State,2020-11-27,5.0,20.0,-31.0,-4.0,-14.0,4.0
Free State,2020-11-28,-3.0,14.0,-27.0,-1.0,-3.0,4.0
Free State,2020-11-29,-1.0,11.0,-21.0,-22.0,-6.0,4.0
Free State,2020-11-30,-6.0,11.0,-35.0,-10.0,-13.0,7.0
Free State,2020-12-01,4.0,20.0,-30.0,4.0,-11.0,7.0
Free State,2020-12-02,3.0,19.0,-32.0,-4.0,-9.0,7.0
Free State,2020-12-03,2.0,23.0,-30.0,-16.0,-11.0,7.0
Free State,2020-12-04,3.0,21.0,-29.0,-9.0,-14.0,6.0
Free State,2020-12-05,-2.0,16.0,-20.0,-3.0,0.0,2.0
Free State,2020-12-06,-8.0,3.0,-22.0,-24.0,-9.0,4.0
Free State,2020-12-07,-12.0,3.0,-37.0,-13.0,-17.0,7.0
Free State,2020-12-08,-11.0,-1.0,-36.0,-8.0,-15.0,9.0
Free State,2020-12-09,-9.0,0.0,-30.0,-12.0,-13.0,9.0
Free State,2020-12-10,-8.0,8.0,-22.0,-17.0,-15.0,9.0
Free State,2020-12-11,-4.0,10.0,-24.0,-8.0,-16.0,7.0
Free State,2020-12-12,-11.0,5.0,-21.0,-6.0,-4.0,5.0
Free State,2020-12-13,-12.0,1.0,-8.0,-17.0,-7.0,6.0
Free State,2020-12-14,-10.0,5.0,-27.0,-14.0,-21.0,9.0
Free State,2020-12-15,18.0,27.0,-14.0,5.0,-21.0,5.0
Free State,2020-12-16,-15.0,-5.0,-12.0,-29.0,-66.0,20.0
Free State,2020-12-17,-1.0,19.0,-16.0,-22.0,-33.0,10.0
Free State,2020-12-18,1.0,18.0,-30.0,-4.0,-35.0,10.0
Free State,2020-12-19,-3.0,17.0,-12.0,8.0,-6.0,3.0
Free State,2020-12-20,-2.0,11.0,0.0,-12.0,-11.0,4.0
Free State,2020-12-21,0.0,18.0,-26.0,-20.0,-42.0,12.0
Free State,2020-12-22,2.0,16.0,-24.0,-15.0,-44.0,13.0
Free State,2020-12-23,13.0,37.0,-17.0,-12.0,-44.0,10.0
Free State,2020-12-24,9.0,56.0,-5.0,-30.0,-53.0,9.0
Free State,2020-12-25,-70.0,-57.0,-9.0,-61.0,-82.0,23.0
Free State,2020-12-26,-42.0,-24.0,-3.0,-45.0,-42.0,10.0
Free State,2020-12-27,-18.0,-4.0,12.0,-34.0,-19.0,4.0
Free State,2020-12-28,-12.0,12.0,-18.0,-33.0,-55.0,16.0
Free State,2020-12-29,-22.0,-4.0,-15.0,-29.0,-55.0,19.0
Free State,2020-12-30,-20.0,1.0,-17.0,-39.0,-54.0,19.0
Free State,2020-12-31,-16.0,28.0,-11.0,-47.0,-56.0,15.0
Free State,2021-01-01,-68.0,-53.0,-20.0,-62.0,-80.0,31.0
Free State,2021-01-02,-34.0,-9.0,-23.0,-40.0,-26.0,14.0
Free State,2021-01-03,-28.0,-8.0,-10.0,-22.0,-18.0,11.0
Free State,2021-01-04,-20.0,5.0,-35.0,-29.0,-41.0,18.0
Free State,2021-01-05,-21.0,-2.0,-32.0,-20.0,-40.0,19.0
Free State,2021-01-06,-17.0,4.0,-34.0,-28.0,-36.0,17.0
Free State,2021-01-07,-21.0,4.0,-31.0,-34.0,-37.0,16.0
Free State,2021-01-08,-25.0,0.0,-40.0,-26.0,-37.0,17.0
Free State,2021-01-09,-30.0,-3.0,-34.0,-30.0,-9.0,11.0
Free State,2021-01-10,-33.0,-8.0,-26.0,-39.0,-16.0,10.0
Free State,2021-01-11,-29.0,-7.0,-47.0,-36.0,-33.0,15.0
Free State,2021-01-12,-25.0,-9.0,-42.0,-24.0,-32.0,14.0
Free State,2021-01-13,-31.0,-15.0,-47.0,-33.0,-33.0,15.0
Free State,2021-01-14,-34.0,-15.0,-47.0,-45.0,-36.0,14.0
Free State,2021-01-15,-32.0,-13.0,-55.0,-40.0,-39.0,14.0
Free State,2021-01-16,-35.0,-9.0,-45.0,-35.0,-20.0,9.0
Free State,2021-01-17,-38.0,-15.0,-38.0,-45.0,-25.0,9.0
Free State,2021-01-18,-34.0,-15.0,-51.0,-40.0,-37.0,13.0
Free State,2021-01-19,-31.0,-17.0,-50.0,-35.0,-37.0,14.0
Free State,2021-01-20,-29.0,-14.0,-49.0,-36.0,-35.0,15.0
Free State,2021-01-21,-30.0,-11.0,-48.0,-42.0,-35.0,15.0
Free State,2021-01-22,-29.0,-8.0,-53.0,-37.0,-35.0,15.0
Free State,2021-01-23,-31.0,-5.0,-44.0,-35.0,-16.0,10.0
Free State,2021-01-24,-35.0,-13.0,-37.0,-41.0,-23.0,11.0
Free State,2021-01-25,-27.0,-6.0,-55.0,-35.0,-31.0,14.0
Free State,2021-01-26,-22.0,-7.0,-48.0,-23.0,-31.0,13.0
Free State,2021-01-27,-26.0,-12.0,-54.0,-34.0,-30.0,16.0
Free State,2021-01-28,-21.0,0.0,-49.0,-42.0,-30.0,13.0
Free State,2021-01-29,-14.0,9.0,-49.0,-25.0,-29.0,11.0
Free State,2021-01-30,-15.0,14.0,-42.0,-21.0,-12.0,7.0
Free State,2021-01-31,-15.0,8.0,-36.0,-32.0,-19.0,8.0
Free State,2021-02-01,-17.0,7.0,-52.0,-22.0,-24.0,10.0
Free State,2021-02-02,-15.0,2.0,-51.0,-18.0,-24.0,11.0
Free State,2021-02-03,-23.0,-6.0,-52.0,-32.0,-24.0,14.0
Free State,2021-02-04,-17.0,5.0,-44.0,-34.0,-24.0,11.0
Free State,2021-02-05,-15.0,2.0,-45.0,-23.0,-25.0,9.0
Free State,2021-02-06,-21.0,-1.0,-36.0,-30.0,-13.0,6.0
Free State,2021-02-07,-23.0,-6.0,-28.0,-32.0,-19.0,7.0
Free State,2021-02-08,-22.0,-3.0,-48.0,-30.0,-25.0,10.0
Free State,2021-02-09,-18.0,-3.0,-47.0,-21.0,-24.0,11.0
Free State,2021-02-10,-19.0,-5.0,-47.0,-24.0,-24.0,9.0
Free State,2021-02-11,-18.0,2.0,-45.0,-34.0,-24.0,9.0
Free State,2021-02-12,-16.0,0.0,-51.0,-18.0,-23.0,10.0
Free State,2021-02-13,-16.0,4.0,-41.0,-19.0,-10.0,7.0
Free State,2021-02-14,-8.0,4.0,-35.0,-28.0,-18.0,7.0
Free State,2021-02-15,-17.0,4.0,-54.0,-25.0,-23.0,8.0
Free State,2021-02-16,-14.0,3.0,-51.0,-12.0,-22.0,8.0
Free State,2021-02-17,-18.0,-1.0,-55.0,-15.0,-19.0,9.0
Free State,2021-02-18,-20.0,3.0,-52.0,-25.0,-21.0,9.0
Free State,2021-02-19,-16.0,2.0,-52.0,-12.0,-21.0,8.0
Free State,2021-02-20,-17.0,3.0,-43.0,-11.0,-9.0,7.0
Free State,2021-02-21,-22.0,-1.0,-41.0,-22.0,-18.0,8.0
Free State,2021-02-22,-27.0,-8.0,-58.0,-25.0,-20.0,10.0
Free State,2021-02-23,-22.0,-9.0,-58.0,-13.0,-21.0,10.0
Free State,2021-02-24,-19.0,-6.0,-55.0,-17.0,-17.0,10.0
Free State,2021-02-25,-9.0,15.0,-51.0,-20.0,-18.0,7.0
Free State,2021-02-26,2.0,22.0,-49.0,-1.0,-17.0,6.0
Free State,2021-02-27,6.0,28.0,-37.0,-2.0,-4.0,3.0
Free State,2021-02-28,5.0,28.0,-32.0,-11.0,-9.0,4.0
Free State,2021-03-01,-4.0,20.0,-51.0,-11.0,-15.0,6.0
Free State,2021-03-02,-3.0,17.0,-49.0,1.0,-16.0,7.0
Free State,2021-03-03,-5.0,16.0,-51.0,-7.0,-14.0,9.0
Free State,2021-03-04,-9.0,17.0,-49.0,-16.0,-16.0,8.0
Free State,2021-03-05,-3.0,21.0,-49.0,-4.0,-17.0,6.0
Free State,2021-03-06,-5.0,20.0,-38.0,-1.0,-6.0,5.0
Free State,2021-03-07,-9.0,12.0,-34.0,-12.0,-13.0,6.0
Free State,2021-03-08,-18.0,5.0,-53.0,-14.0,-16.0,8.0
Free State,2021-03-09,-14.0,4.0,-52.0,-1.0,-16.0,8.0
Free State,2021-03-10,-15.0,4.0,-52.0,-2.0,-14.0,9.0
Free State,2021-03-11,-16.0,7.0,-52.0,-14.0,-16.0,8.0
Free State,2021-03-12,-12.0,9.0,-53.0,-9.0,-17.0,7.0
Free State,2021-03-13,-14.0,9.0,-42.0,-9.0,-8.0,5.0
Free State,2021-03-14,-19.0,1.0,-40.0,-18.0,-15.0,6.0
Free State,2021-03-15,-14.0,7.0,-55.0,-8.0,-15.0,7.0
Free State,2021-03-16,-12.0,6.0,-51.0,0.0,-16.0,7.0
Free State,2021-03-17,-16.0,2.0,-54.0,-10.0,-15.0,9.0
Free State,2021-03-18,-14.0,8.0,-51.0,-15.0,-16.0,7.0
Free State,2021-03-19,-5.0,16.0,-48.0,0.0,-16.0,6.0
Free State,2021-03-20,-10.0,12.0,-36.0,-3.0,-10.0,6.0
Free State,2021-03-21,-14.0,2.0,-23.0,-28.0,-16.0,7.0
Free State,2021-03-22,-34.0,-20.0,-47.0,-37.0,-72.0,23.0
Free State,2021-03-23,-15.0,4.0,-53.0,-1.0,-13.0,7.0
Gauteng,2020-02-15,8.0,0.0,25.0,1.0,2.0,-3.0
Gauteng,2020-02-16,2.0,-1.0,10.0,-6.0,0.0,0.0
Gauteng,2020-02-17,-8.0,-8.0,0.0,3.0,5.0,1.0
Gauteng,2020-02-18,-10.0,-12.0,1.0,1.0,5.0,1.0
Gauteng,2020-02-19,-11.0,-12.0,-5.0,-1.0,4.0,1.0
Gauteng,2020-02-20,-2.0,-5.0,1.0,2.0,4.0,-1.0
Gauteng,2020-02-21,-1.0,-7.0,0.0,5.0,4.0,-2.0
Gauteng,2020-02-22,-1.0,-7.0,-6.0,-5.0,2.0,-1.0
Gauteng,2020-02-23,-4.0,-5.0,-7.0,-10.0,-1.0,4.0
Gauteng,2020-02-24,-9.0,-11.0,-4.0,-1.0,5.0,1.0
Gauteng,2020-02-25,2.0,-2.0,0.0,4.0,5.0,-1.0
Gauteng,2020-02-26,2.0,0.0,1.0,7.0,5.0,-1.0
Gauteng,2020-02-27,10.0,7.0,5.0,9.0,5.0,-1.0
Gauteng,2020-02-28,14.0,9.0,14.0,21.0,4.0,-2.0
Gauteng,2020-02-29,24.0,15.0,5.0,13.0,4.0,-4.0
Gauteng,2020-03-01,23.0,20.0,7.0,11.0,6.0,0.0
Gauteng,2020-03-02,5.0,6.0,-8.0,11.0,6.0,2.0
Gauteng,2020-03-03,5.0,4.0,7.0,14.0,9.0,-1.0
Gauteng,2020-03-04,4.0,5.0,5.0,11.0,8.0,0.0
Gauteng,2020-03-05,7.0,8.0,5.0,11.0,8.0,0.0
Gauteng,2020-03-06,10.0,9.0,14.0,16.0,8.0,-2.0
Gauteng,2020-03-07,12.0,8.0,17.0,8.0,7.0,-2.0
Gauteng,2020-03-08,5.0,4.0,8.0,-3.0,4.0,2.0
Gauteng,2020-03-09,-5.0,-4.0,-2.0,2.0,7.0,1.0
Gauteng,2020-03-10,-6.0,-8.0,2.0,3.0,6.0,-1.0
Gauteng,2020-03-11,-7.0,-8.0,-3.0,-2.0,4.0,-1.0
Gauteng,2020-03-12,-2.0,-4.0,-1.0,-4.0,4.0,-2.0
Gauteng,2020-03-13,3.0,0.0,3.0,0.0,3.0,-3.0
Gauteng,2020-03-14,5.0,2.0,12.0,-6.0,4.0,-2.0
Gauteng,2020-03-15,0.0,1.0,3.0,-13.0,2.0,3.0
Gauteng,2020-03-16,-6.0,7.0,-13.0,-13.0,1.0,4.0
Gauteng,2020-03-17,-13.0,-4.0,-18.0,-16.0,-4.0,6.0
Gauteng,2020-03-18,-15.0,-5.0,-18.0,-20.0,-11.0,9.0
Gauteng,2020-03-19,-14.0,-4.0,-16.0,-24.0,-15.0,11.0
Gauteng,2020-03-20,-12.0,2.0,-14.0,-23.0,-17.0,10.0
Gauteng,2020-03-21,-22.0,-6.0,-23.0,-28.0,-17.0,8.0
Gauteng,2020-03-22,-29.0,-12.0,-34.0,-40.0,-12.0,10.0
Gauteng,2020-03-23,-19.0,-3.0,-26.0,-39.0,-24.0,13.0
Gauteng,2020-03-24,-5.0,21.0,-19.0,-32.0,-24.0,11.0
Gauteng,2020-03-25,11.0,38.0,-15.0,-24.0,-28.0,9.0
Gauteng,2020-03-26,21.0,68.0,-8.0,-30.0,-36.0,8.0
Gauteng,2020-03-27,-80.0,-61.0,-64.0,-82.0,-79.0,44.0
Gauteng,2020-03-28,-79.0,-60.0,-68.0,-80.0,-60.0,28.0
Gauteng,2020-03-29,-78.0,-60.0,-64.0,-81.0,-51.0,26.0
Gauteng,2020-03-30,-72.0,-50.0,-61.0,-81.0,-78.0,41.0
Gauteng,2020-03-31,-72.0,-48.0,-59.0,-80.0,-78.0,38.0
Gauteng,2020-04-01,-70.0,-43.0,-59.0,-79.0,-77.0,39.0
Gauteng,2020-04-02,-70.0,-42.0,-59.0,-80.0,-77.0,40.0
Gauteng,2020-04-03,-72.0,-43.0,-59.0,-80.0,-77.0,42.0
Gauteng,2020-04-04,-77.0,-54.0,-66.0,-78.0,-58.0,27.0
Gauteng,2020-04-05,-74.0,-50.0,-61.0,-78.0,-46.0,24.0
Gauteng,2020-04-06,-71.0,-46.0,-57.0,-80.0,-77.0,40.0
Gauteng,2020-04-07,-72.0,-45.0,-57.0,-79.0,-77.0,39.0
Gauteng,2020-04-08,-73.0,-45.0,-60.0,-82.0,-77.0,40.0
Gauteng,2020-04-09,-68.0,-34.0,-58.0,-81.0,-78.0,40.0
Gauteng,2020-04-10,-81.0,-60.0,-62.0,-85.0,-87.0,48.0
Gauteng,2020-04-11,-74.0,-45.0,-65.0,-79.0,-58.0,27.0
Gauteng,2020-04-12,-76.0,-53.0,-64.0,-81.0,-48.0,26.0
Gauteng,2020-04-13,-80.0,-59.0,-63.0,-85.0,-87.0,46.0
Gauteng,2020-04-14,-73.0,-47.0,-62.0,-82.0,-76.0,39.0
Gauteng,2020-04-15,-69.0,-39.0,-59.0,-81.0,-76.0,40.0
Gauteng,2020-04-16,-69.0,-38.0,-59.0,-81.0,-75.0,40.0
Gauteng,2020-04-17,-71.0,-38.0,-59.0,-80.0,-75.0,42.0
Gauteng,2020-04-18,-75.0,-48.0,-65.0,-77.0,-55.0,27.0
Gauteng,2020-04-19,-77.0,-51.0,-64.0,-80.0,-45.0,25.0
Gauteng,2020-04-20,-71.0,-45.0,-58.0,-80.0,-73.0,39.0
Gauteng,2020-04-21,-73.0,-46.0,-60.0,-79.0,-73.0,39.0
Gauteng,2020-04-22,-73.0,-45.0,-61.0,-81.0,-73.0,40.0
Gauteng,2020-04-23,-72.0,-42.0,-60.0,-81.0,-73.0,40.0
Gauteng,2020-04-24,-68.0,-34.0,-57.0,-79.0,-72.0,40.0
Gauteng,2020-04-25,-68.0,-34.0,-59.0,-74.0,-51.0,24.0
Gauteng,2020-04-26,-70.0,-39.0,-61.0,-78.0,-43.0,24.0
Gauteng,2020-04-27,-74.0,-48.0,-61.0,-83.0,-85.0,44.0
Gauteng,2020-04-28,-68.0,-40.0,-58.0,-78.0,-71.0,36.0
Gauteng,2020-04-29,-67.0,-36.0,-57.0,-77.0,-71.0,38.0
Gauteng,2020-04-30,-61.0,-25.0,-52.0,-74.0,-69.0,35.0
Gauteng,2020-05-01,-59.0,-27.0,-48.0,-72.0,-79.0,38.0
Gauteng,2020-05-02,-51.0,-20.0,-51.0,-60.0,-38.0,20.0
Gauteng,2020-05-03,-55.0,-26.0,-50.0,-65.0,-28.0,20.0
Gauteng,2020-05-04,-46.0,-20.0,-43.0,-62.0,-56.0,29.0
