OBJECTID,PROVINCE,CATEGORY,CAT2,CAT_B,MUNICNAME,NAMECODE,MAP_TITLE,DISTRICT,DISTRICT_N,DATE
159,WC,B,Local Municipality,WC024,Stellenbosch,Stellenbosch (WC024),Stellenbosch Local Municipality,DC2,Cape Winelands,2019/06/25
160,WC,B,Local Municipality,WC031,Theewaterskloof,Theewaterskloof (WC031),Theewaterskloof Local Municipality,DC3,Overberg,2019/06/25
161,EC,B,Local Municipality,EC442,Umzimvubu,Umzimvubu (EC442),Umzimvubu Local Municipality,DC44,Alfred Nzo,2019/06/25
162,EC,B,Local Municipality,EC444,Ntabankulu,Ntabankulu (EC444),Ntabankulu Local Municipality,DC44,Alfred Nzo,2019/06/25
163,EC,B,Local Municipality,EC443,Mbizana,Mbizana (EC443),Mbizana Local Municipality,DC44,Alfred Nzo,2019/06/25
164,EC,B,Local Municipality,EC123,Great Kei,Great Kei (EC123),Great Kei Local Municipality,DC12,Amathole,2019/06/25
165,EC,B,Local Municipality,EC124,Amahlathi,Amahlathi (EC124),Amahlathi Local Municipality,DC12,Amathole,2019/06/25
166,KZN,B,Local Municipality,KZN221,uMshwathi,uMshwathi (KZN221),uMshwathi Local Municipality,DC22,Umgungundlovu,2019/06/25
167,KZN,B,Local Municipality,KZN244,Msinga,Msinga (KZN244),Msinga Local Municipality,DC24,Umzinyathi,2019/06/25
168,KZN,A,Metropolitan Municipality,ETH,eThekwini,eThekwini (ETH),Ethekwini Metropolitan Municipality,ETH,eThekwini,2019/06/25
169,KZN,B,Local Municipality,KZN226,Mkhambathini,Mkhambathini (KZN226),Mkhambathini Local Municipality,DC22,Umgungundlovu,2019/06/25
170,KZN,B,Local Municipality,KZN225,The Msunduzi,The Msunduzi (KZN225),The Msunduzi Local Municipality,DC22,Umgungundlovu,2019/06/25
171,KZN,B,Local Municipality,KZN222,uMngeni,uMngeni (KZN222),uMngeni Local Municipality,DC22,Umgungundlovu,2019/06/25
172,KZN,B,Local Municipality,KZN224,Impendle,Impendle (KZN224),Impendle Local Municipality,DC22,Umgungundlovu,2019/06/25
173,KZN,B,Local Municipality,KZN281,Mfolozi,Mfolozi (KZN281),Mfolozi Local Municipality,DC28,King Cetshwayo,2019/06/25
174,KZN,B,Local Municipality,KZN282,uMhlathuze,uMhlathuze (KZN282),uMhlathuze Local Municipality,DC28,King Cetshwayo,2019/06/25
175,KZN,B,Local Municipality,KZN285,Mthonjaneni,Mthonjaneni (KZN285),Mthonjaneni Local Municipality,DC28,King Cetshwayo,2019/06/25
176,EC,B,Local Municipality,EC106,Sundays River Valley,Sundays River Valley (EC106),Sundays River Valley Local Municipality,DC10,Sarah Baartman,2019/06/25
177,EC,B,Local Municipality,EC108,Kouga,Kouga (EC108),Kouga Local Municipality,DC10,Sarah Baartman,2019/06/25
178,EC,B,Local Municipality,EC109,Kou-Kamma,Kou-Kamma (EC109),Kou-Kamma Local Municipality,DC10,Sarah Baartman,2019/06/25
179,EC,A,Metropolitan Municipality,NMA,Nelson Mandela Bay,Nelson Mandela Bay (NMA),Nelson Mandela Bay Metropolitan Municipality,NMA,Nelson Mandela Bay,2019/06/25
180,EC,A,Metropolitan Municipality,BUF,Buffalo City,Buffalo City (BUF),Buffalo City Metropolitan Municipality,BUF,Buffalo City,2019/06/25
181,EC,B,Local Municipality,EC126,Ngqushwa,Ngqushwa (EC126),Ngqushwa Local Municipality,DC12,Amathole,2019/06/25
182,MP,B,Local Municipality,MP325,Bushbuckridge,Bushbuckridge (MP325),Bushbuckridge Local Municipality,DC32,Ehlanzeni,2019/06/25
183,EC,B,Local Municipality,EC135,Intsika Yethu,Intsika Yethu (EC135),Intsika Yethu Local Municipality,DC13,Chris Hani,2019/06/25
184,EC,B,Local Municipality,EC136,Emalahleni,Emalahleni (EC136),Emalahleni Local Municipality,DC13,Chris Hani,2019/06/25
185,EC,B,Local Municipality,EC138,Sakhisizwe,Sakhisizwe (EC138),Sakhisizwe Local Municipality,DC13,Chris Hani,2019/06/25
