Province,District_level,Data_title,Data_type,Friendly_title,Cat,District,Order,Data_file,Notes
WC,1,GR,Case,Eden,DC4,,20,provincial_wc_cumulative,
WC,2,GR-BT,Case,Bitou,WC047,DC4,21,provincial_wc_cumulative,
WC,2,GR-GE,Case,George,WC044,DC4,22,provincial_wc_cumulative,
WC,2,GR-HQ,Case,Hessequa,WC042,DC4,23,provincial_wc_cumulative,
WC,2,GR-KL,Case,Kannaland,WC041,DC4,24,provincial_wc_cumulative,
WC,2,GR-KN,Case,Knysna,WC048,DC4,25,provincial_wc_cumulative,
WC,2,GR-MB,Case,Mossel Bay,WC043,DC4,26,provincial_wc_cumulative,
WC,2,GR-OS,Case,Oudtshoorn,WC045,DC4,27,provincial_wc_cumulative,
WC,1,OB,Case,Overberg,DC3,,28,provincial_wc_cumulative,
WC,2,OB-CA,Case,Cape Agulhas,WC033,DC3,29,provincial_wc_cumulative,
WC,2,OB-OS,Case,Overstrand,WC032,DC3,30,provincial_wc_cumulative,
WC,2,OB-SD,Case,Swellendam,WC034,DC3,31,provincial_wc_cumulative,
WC,2,OB-TK,Case,Theewaterskloof,WC031,DC3,32,provincial_wc_cumulative,
WC,1,WC,Case,West Coast,DC1,,33,provincial_wc_cumulative,
WC,2,WC-BR,Case,Bergrivier,WC013,DC1,34,provincial_wc_cumulative,
WC,2,WC-CB,Case,Cederberg,WC012,DC1,35,provincial_wc_cumulative,
WC,2,WC-MZ,Case,Matzikama,WC011,DC1,36,provincial_wc_cumulative,
WC,2,WC-SB,Case,Saldanha Bay,WC014,DC1,37,provincial_wc_cumulative,
WC,2,WC-SL,Case,Swartland,WC015,DC1,38,provincial_wc_cumulative,
WC,1,UNKNOWN,Case,Western Cape Unknown,,,39,provincial_wc_cumulative,
EC,1,alfred_nzo,Case,Alfred Nzo,DC44,,1,provincial_ec_cumulative,
EC,1,amathole,Case,Amathole,DC12,,2,provincial_ec_cumulative,
EC,1,buffalo_city_metro,Case,Buffalo City,BUF,,3,provincial_ec_cumulative,
EC,1,chris_hani,Case,Chris Hani,DC13,,4,provincial_ec_cumulative,
EC,1,joe_gqabi,Case,Joe Gqabi,DC14,,5,provincial_ec_cumulative,
EC,1,nelson_mandele_metro,Case,Nelson Mandela Bay,NMA,,6,provincial_ec_cumulative,
EC,1,or_tambo,Case,O.R.Tambo,DC15,,7,provincial_ec_cumulative,
EC,1,sarah_baartman_district,Case,Sarah Baartman,DC10,,8,provincial_ec_cumulative,
EC,1,unknown,Case,Eastern Cape Unknown,,,9,provincial_ec_cumulative,
EC,0,total,Case,Total EC,,,20,provincial_ec_cumulative,
FS,1,fezile_dabi,Case,Fezile Dabi,DC20,,1,provincial_fs_cumulative,
FS,1,lejweleputswa,Case,Lejweleputswa,DC18,,2,provincial_fs_cumulative,
FS,1,mangaung,Case,Mangaung,MAN,,3,provincial_fs_cumulative,
FS,1,xhariep,Case,Xhariep,DC16,,4,provincial_fs_cumulative,
FS,1,thabo_mofutsanyana,Case,Thabo Mofutsanyane,DC19,,5,provincial_fs_cumulative,
FS,0,total,Case,Free State Total,,,6,provincial_fs_cumulative,
FS,0,Recoveries,Recovery,Free State Recoveries,,,7,provincial_fs_cumulative,
FS,0,Deaths,Death,Free State Deaths,,,8,provincial_fs_cumulative,
LP,1,DC35,Case,Capricorn,DC35,,1,provincial_lp_cumulative,
LP,2,LIM354,Case,Polokwane,LIM354,DC35,2,provincial_lp_cumulative,
LP,2,LIM351,Case,Blouberg,LIM351,DC35,3,provincial_lp_cumulative,
LP,2,LIM353,Case,Blouberg,LIM353,DC35,4,provincial_lp_cumulative,
LP,2,LIM355,Case,Lepele-Nkumpi,LIM355,DC35,5,provincial_lp_cumulative,
LP,1,DC34,Case,Vhembe,DC34,,6,provincial_lp_cumulative,
LP,2,LIM341,Case,Musina,LIM341,DC34,7,provincial_lp_cumulative,
LP,2,LIM344,Case,Makhado,LIM344,DC34,8,provincial_lp_cumulative,
LP,2,LIM343,Case,Thulamela,LIM343,DC34,9,provincial_lp_cumulative,
LP,2,LIM345,Case,Collins Chabane,LIM345,DC34,10,provincial_lp_cumulative,
LP,1,DC33,Case,Mopani,DC33,,11,provincial_lp_cumulative,
LP,2,LIM334,Case,Ba-Phalaborwa,LIM334,DC33,12,provincial_lp_cumulative,
LP,2,LIM331,Case,Greater Giyani,LIM331,DC33,13,provincial_lp_cumulative,
LP,2,LIM332,Case,Greater Letaba,LIM332,DC33,14,provincial_lp_cumulative,
LP,2,LIM333,Case,Greater Tzaneen,LIM333,DC33,15,provincial_lp_cumulative,
LP,2,LIM335,Case,Maruleng,LIM335,DC33,16,provincial_lp_cumulative,
LP,1,DC47,Case,Sekhukhune,DC47,,17,provincial_lp_cumulative,
LP,2,LIM472,Case,Elias Motsoaledi,LIM472,DC47,18,provincial_lp_cumulative,
LP,2,LIM471,Case,Ephraim Mogale,LIM471,DC47,19,provincial_lp_cumulative,
LP,2,LIM476,Case,Fetakgomo Tubatse,LIM476,DC47,20,provincial_lp_cumulative,
LP,2,LIM473,Case,Makhuduthamaga,LIM473,DC47,21,provincial_lp_cumulative,
LP,1,DC36,Case,Waterberg,DC36,,22,provincial_lp_cumulative,
LP,2,LIM366,Case,Bela-Bela,LIM366,DC36,23,provincial_lp_cumulative,
LP,2,LIM362,Case,Lephalale,LIM362,DC36,24,provincial_lp_cumulative,
LP,2,LIM368,Case,Modimolle-Mookgophong,LIM368,DC36,25,provincial_lp_cumulative,
LP,2,LIM367,Case,Mogalakwena,LIM367,DC36,26,provincial_lp_cumulative,
LP,2,LIM361,Case,Thabazimbi,LIM361,DC36,27,provincial_lp_cumulative,
LP,2,unknown,Case,Limpopo Unknown,,,28,provincial_lp_cumulative,
LP,0,total,Case,Limpopo Total,,,29,provincial_lp_cumulative,
LP,0,recoveries,Recovery,Limpopo Recoveries,,,30,provincial_lp_cumulative,
LP,0,deaths,Death,Limpopo Deaths,,,31,provincial_lp_cumulative,
LP,0,active,Active,Limpopo Active,,,32,provincial_lp_cumulative,
LP,0,tests,Test,Limpopo Tests,,,33,provincial_lp_cumulative,
MP,1,Ehlanzeni,Case,Ehlanzeni,DC32,,,,RECORD DOES NOT EXISIT YET
MP,1,Gert Sibande,Case,Gert Sibande,DC30,,,"",RECORD DOES NOT EXISIT YET
MP,1,Nkangala,Case,Nkangala,DC31,,,"",RECORD DOES NOT EXISIT YET
MP,2,bushbuckridge,Case,Bushbuckridge,DC32,DC32,1,provincial_mp_cumulative,
MP,2,mbombela,Case,City of Mbombela,DC32,DC32,2,provincial_mp_cumulative,
MP,2,nkomazi,Case,Nkomazi,DC32,DC32,3,provincial_mp_cumulative,
MP,2,thaba_chweu,Case,Thaba Chweu,DC32,DC32,4,provincial_mp_cumulative,
MP,2,albert_luthuli,Case,Chief Albert Luthuli,DC30,DC30,5,provincial_mp_cumulative,
MP,2,dipaliseng,Case,Dipaleseng,DC30,DC30,6,provincial_mp_cumulative,
MP,2,pixley_ka_seme,Case,Dr Pixley Ka Isaka Seme,DC30,DC30,7,provincial_mp_cumulative,
MP,2,govan_mbeki,Case,Govan Mbeki,DC30,DC30,8,provincial_mp_cumulative,
MP,2,lekwa,Case,Lekwa,DC30,DC30,9,provincial_mp_cumulative,
MP,2,mkhondo,Case,Mkhondo,DC30,DC30,10,provincial_mp_cumulative,
MP,2,msukaligwa,Case,Msukaligwa,DC30,DC30,11,provincial_mp_cumulative,
MP,2,js_moroka,Case,Dr JS Moroka,DC31,DC31,12,provincial_mp_cumulative,
MP,2,emakhazeni,Case,Emakhazeni,DC31,DC31,13,provincial_mp_cumulative,
MP,2,emalahleni,Case,Emalahleni,DC31,DC31,14,provincial_mp_cumulative,
MP,2,steve_tshwete,Case,Steve Tshwete,DC31,DC31,15,provincial_mp_cumulative,
MP,2,thembisile_hani,Case,Thembisile,DC31,DC31,16,provincial_mp_cumulative,
MP,2,victor_khanye,Case,Victor Khanye,DC31,DC31,17,provincial_mp_cumulative,
MP,1,unknown,Case,Mpumalanga Unknown,,,18,provincial_mp_cumulative,
MP,0,total,Case,Mpumalanga Total,,,19,provincial_mp_cumulative,
MP,0,recoveries,Recovery,Mpumalanga Recoveries,,,20,provincial_mp_cumulative,
MP,0,deaths,Death,Mpumalanga Deaths,,,21,provincial_mp_cumulative,
NC,1,Francis Baard-Cases,Case,Frances Baard,DC9,,1,provincial_nc_cumulative,
NC,1,Namakwa-Cases,Case,Namakwa,DC6,,2,provincial_nc_cumulative,
NC,1,Pixley Ka Seme-Cases,Case,Pixley ka Seme,DC7,,3,provincial_nc_cumulative,
NC,1,ZF Mgcawu-Cases,Case,Z F Mgcawu,DC8,,4,provincial_nc_cumulative,
NC,1,John Taolo Gaetswe-Cases,Case,John Taolo Gaetsewe,DC45,,5,provincial_nc_cumulative,
NC,1,Francis Baard-Deaths,Deaths,Frances Baard,DC9,,6,provincial_nc_cumulative,
NC,1,Namakwa-Deaths,Deaths,Namakwa,DC6,,7,provincial_nc_cumulative,
NC,1,Pixley Ka Seme-Deaths,Deaths,Pixley ka Seme,DC7,,8,provincial_nc_cumulative,
